,Name,Type,Mass,Radius,Flux,Tsurf,Period,Distance,ESI
24, GJ 163 c,M-Warm Superterran,≥ 6.80,~ 2.50,1.25,~ 304,25.6,49.0,0.69
26, Kepler-174 d,K-Warm Superterran,~ 5.43,2.19,0.59,~ 252,247.4,1254.0,0.68
17, TRAPPIST-1 f,M-Warm Terran,1.04,1.04,0.37,~ 225,9.2,41.0,0.68
16, Kepler-62 f,K-Warm Terran,—,1.41,0.41,~ 230,267.3,981.0,0.68
18, Teegarden's Star c,M-Warm Terran,? 1.11,~ 1.04,0.37,~ 225,11.4,12.0,0.68
28, Kepler-296 f,M-Warm Superterran,~ 3.91,1.80,0.44,~ 229,63.3,544.0,0.66
27, HD 40307 g,K-Warm Superterran,≥ 7.09,~ 2.57,0.67,~ 256,197.8,42.0,0.66
29, HIP 38594 b,M-Warm Superterran,≥ 8.10,~ 2.77,1.34,~ 308,60.7,58.0,0.65
30, K2-288 B b,M-Warm Superterran,~ 4.26,1.91,0.44,~ 234,31.4,214.0,0.65
31, HD 216520 c,K-Warm Superterran,≥ 9.44,~ 3.04,1.28,~ 305,154.4,64.0,0.63
32, GJ 3293 d,M-Warm Superterran,≥ 7.60,~ 2.67,0.59,~ 251,48.1,66.0,0.63
33, LHS 1140 b,M-Warm Superterran,6.38,1.64,0.36,~ 222,24.7,49.0,0.62
19, Kepler-1229 b,M-Warm Terran,~ 2.54,1.40,0.32,~ 217,86.8,865.0,0.62
20, Kepler-186 f,M-Warm Terran,~ 1.71,1.17,0.29,~ 212,129.9,579.0,0.61
21, GJ 667 C e,M-Warm Terran,? 2.54,~ 1.45,0.3,~ 213,62.2,24.0,0.6
34, GJ 357 d,M-Warm Superterran,≥ 6.10,~ 2.34,0.38,~ 226,55.7,31.0,0.58
23, TRAPPIST-1 g,M-Warm Terran,1.32,1.13,0.25,~ 204,12.4,41.0,0.58
22, GJ 1002 c (N),M-Warm Terran,? 1.36,~ 1.10,0.26,~ 205,21.2,16.0,0.58
35, GJ 682 b,M-Warm Superterran,≥ 4.40,~ 1.94,0.31,~ 215,17.5,16.0,0.57
36, GJ 229 A c,M-Warm Superterran,≥ 8.57,~ 2.87,0.44,~ 228,121.9,19.0,0.56
38, GJ 514 b (N),M-Warm Superterran,≥ 5.20,~ 2.13,0.27,~ 199,140.4,25.0,0.52
37,GJ 180 d,M-Warm Superterran,≥ 7.56,~ 2.66,0.26,~ 205,106.3,39.0,0.48
