,num_of_objects_around_star,right_ascension,declination,g_band_mag,r_band_mag,i_band_mag,z_band_mag,j_band_mag,h_band_mag,k_band_mag,kepler_band_mag,num_of_transits,max_single_event_stat,max_multi_event_stat,odd_even_depth_stat,limb_dark_co4,limb_dark_co3,limb_dark_co2,limb_dark_co1,transit_signal_to_noise,planet_radius_earth,orbit_semimajor_axis,impact,transit_duration,transit_depth,orbital_period,planet_star_radius_ratio,planet_star_distance_radius,inclination,planet_temp,star_temp,star_surface_gravity,star_metallicity,star_radius,star_mass,flux_weight_offset_sig,centroid_right_ascension,centroid_declination,centroid_right_ascension_offset,centroid_declination_offset,planet_star_right_ascension_offset,planet_star_declination_offset,angular_offset_right_ascension,angular_offset_declination,angular_offset_sky,insolation_flux,star_density,classification
1559,3,292.64236,44.087669,16.451,15.077,14.404,14.049,12.794,12.11,11.956,15.018,235.0,4.2599545,22.204264,0.3582,0.0,0.0,0.3037,0.4224,29.3,1.04,0.0471,0.187,2.098,430.0,5.21230171,0.018794,19.02,89.44,537.0,3716.0,4.74,0.04,0.506,0.513,0.916,19.509491,44.08759,0.01,-0.28,2e-05,4e-05,0.02,0.09,0.09,19.7,4.78967,0
1560,1,290.7084,42.237251,16.544,15.248,14.652,14.315,13.138,12.45,12.29,15.22,76.0,6.9717007,36.35685,0.3119,0.0,0.0,0.3384,0.3803,42.6,1.93,0.1085,0.627,1.6679,1287.2,17.76076524,0.034334,66.9,89.46,368.0,3826.0,4.744,-0.06,0.516,0.54,0.347,19.3805389,42.237263,-0.81,0.05,0.00031,0.00023,-0.101,-0.095,0.139,4.34,17.97851,0
1561,3,293.35172,48.444641,15.054,14.469,14.307,14.205,13.28,12.895,12.874,14.531,119.0,3.8352168,12.907277,0.4151,0.0,0.0,0.186,0.5256,14.6,1.41,0.09,0.31,3.366,194.2,10.55840479,0.012634,23.11,89.23,796.0,5353.0,4.358,0.16,1.023,0.87,0.004,19.556748,48.44438,-1.21,-0.95,0.00024,0.00015,0.16,-0.48,0.51,94.94,2.09395,0
1563,3,293.35172,48.444641,15.054,14.469,14.307,14.205,13.28,12.895,12.874,14.531,179.0,4.067597,16.144896,0.9116,0.0,0.0,0.186,0.5256,17.1,1.39,0.0683,0.024,3.103,193.2,6.98800953,0.012445,17.42,89.92,914.0,5353.0,4.358,0.16,1.023,0.87,0.181,19.556788,48.44445,0.24,-0.69,-4e-05,0.0001,0.33,-0.52,0.61,164.86,2.04813,0
1564,2,295.93347,40.300571,12.404,12.325,12.366,12.398,11.725,11.629,11.583,12.345,48.0,7.4408913,35.568695,0.5772,0.0,0.0,0.3218,0.2736,15.9,3.36,0.177,0.279,6.617,322.7,22.8245144,0.016692,25.77,89.38,946.0,6642.0,4.057,-0.02,1.846,1.421,0.625,19.7288971,40.300574,-0.04,0.01,-3.2e-05,2.5e-05,-0.2,0.25,0.32,189.46,0.62132,0
1565,1,283.59668,45.407879,15.555,14.973,14.821,14.771,13.838,13.458,13.373,15.041,27.0,9.057734,34.77833,0.5314,0.0,0.0,0.224,0.4695,39.7,3.28,0.253,0.52,6.341,845.6,49.1011093,0.027082,52.4,89.43,498.0,5393.0,4.299,0.2,1.11,0.895,0.001,18.906443,45.40803,-0.11,0.55,5e-05,-0.00064,-0.03,0.14,0.14,14.57,1.12947,0
1566,2,297.25504,40.54837,12.875,12.5,12.419,12.447,11.708,11.454,11.377,12.556,181.0,4.9753275,23.796177,0.7142,0.0,0.0,0.3168,0.2958,25.2,1.68,0.0778,0.631,2.0261,130.0,7.05675145,0.010978,21.04,88.28,1196.0,6388.0,4.244,0.1,1.402,1.259,0.024,19.817008,40.54866,0.2,1.05,-3.9e-05,-7.6e-05,0.39,-0.27,0.48,483.95,3.5363,0
1567,2,295.34271,46.602261,15.356,14.823,14.67,14.597,13.727,13.393,13.305,14.876,35.0,6.825843,26.359308,0.0757,0.0,0.0,0.2711,0.3858,27.0,2.4,0.2046,0.493,5.333,767.7,34.8536903,0.025958,44.9,89.37,522.0,5818.0,4.554,-0.22,0.848,0.937,0.356,19.6895263,46.602169,0.43,-0.33,-0.00026,3e-05,0.25,0.34,0.42,17.62,1.41193,0
1568,1,291.41864,39.127419,14.303,13.09,12.665,12.445,11.334,10.736,10.585,13.156,553.0,4.6087112,33.052593,0.7272,0.0,0.0,0.0628,0.6908,30.0,0.97,0.0315,0.221,1.2701,191.0,2.41434868,0.012299,14.36,89.12,953.0,4507.0,4.573,0.18,0.724,0.715,0.576,19.427913,39.127391,0.18,-0.11,-4e-05,-7e-06,-0.25,-0.1,0.27,195.08,9.60814,0
1569,1,296.05042,42.113239,16.181,15.511,15.352,15.188,14.287,13.84,13.783,15.601,523.0,4.2764206,34.02757,0.0,0.0,0.0,0.2622,0.4035,42.6,24.3,0.0353,1.223,1.9559,704.5,2.466070972,0.251698,2.85,64.63,1260.0,5708.0,4.529,-0.04,0.884,0.963,0.009,19.7366736,42.113326,-0.82,0.31,0.00033,-0.00027,0.17,0.35,0.39,595.8,0.07227,2
1570,1,290.60114,44.556381,14.561,14.069,13.954,13.905,13.007,12.762,12.693,14.136,163.0,4.722371,31.381016,0.0146,0.0,0.0,0.2844,0.3661,39.8,1.95,0.054,0.894,4.1107,257.0,4.30656389,0.017299,3.99,77.07,1177.0,6108.0,4.466,0.07,1.03,1.132,0.018,19.3734227,44.556282,0.49,-0.35,-0.000153,9e-05,0.21,0.01,0.21,453.2,0.06502,0
1571,1,293.1962,42.370628,14.788,14.324,14.211,14.179,13.282,12.989,12.943,14.384,107.0,30.683107,202.95676,0.1238,0.0,0.0,0.302,0.319,183.3,39.93,0.1115,1.282,1.8303,3732.9,12.964717746,0.353935,23.6,86.89,834.0,6210.0,4.45,-0.1,1.033,1.093,0.0,19.5464093,42.37063,-0.186,0.002,0.00059,-0.00035,-0.001,0.055,0.055,114.24,1.48087,2
1572,1,296.30573,41.31712,15.999,15.432,15.293,15.156,14.241,13.861,13.823,15.505,759.0,32.851254,302.623,0.9672,0.0,0.0,0.2889,0.3511,36.2,56.05,0.0286,1.404,1.8419,11974.0,1.731079436,0.537502,4.73,72.75,1541.0,6045.0,4.494,-0.12,0.955,1.038,0.0,19.75371229,41.3170958,-0.07,-0.087,-0.0039,0.002,0.052,-0.012,0.053,1332.5,0.66955,2
1573,1,285.26859,48.560009,12.895,12.35,12.179,12.119,11.211,10.879,10.806,12.394,139.0,44.335537,296.13614,0.3225,0.0,0.0,0.2291,0.4603,159.2,16.51,0.0742,1.06,1.1081,3387.4,7.794302043,0.153996,24.47,87.52,882.0,5494.0,4.405,0.07,0.982,0.893,0.002,19.01789902,48.5599326,-0.249,-0.279,6e-05,-0.00015,-0.007,0.005,0.008,142.82,4.56215,0
1574,1,288.47144,40.269791,15.262,14.568,14.352,14.233,13.269,12.854,12.807,14.625,94.0,11.711189,65.03483,0.0153,0.0,0.0,0.2043,0.4966,16.5,3.11,0.1083,0.001,3.13,1355.9,14.5324483,0.033083,36.65,90.0,664.0,5345.0,4.473,-0.12,0.86,0.802,0.0,19.2314326,40.269797,0.11,0.02,-5e-05,0.00045,0.016,-0.101,0.102,46.06,4.40903,0
