,num_of_objects_around_star,right_ascension,declination,g_band_mag,r_band_mag,i_band_mag,z_band_mag,j_band_mag,h_band_mag,k_band_mag,kepler_band_mag,num_of_transits,max_single_event_stat,max_multi_event_stat,odd_even_depth_stat,limb_dark_co4,limb_dark_co3,limb_dark_co2,limb_dark_co1,transit_signal_to_noise,planet_radius_earth,orbit_semimajor_axis,impact,transit_duration,transit_depth,orbital_period,planet_star_radius_ratio,planet_star_distance_radius,inclination,planet_temp,star_temp,star_surface_gravity,star_metallicity,star_radius,star_mass,flux_weight_offset_sig,centroid_right_ascension,centroid_declination,centroid_right_ascension_offset,centroid_declination_offset,planet_star_right_ascension_offset,planet_star_declination_offset,angular_offset_right_ascension,angular_offset_declination,angular_offset_sky,insolation_flux,star_density,classification
0,2,291.93423,48.141651,15.89,15.27,15.114,15.006,14.082,13.751,13.648,15.347,142.0,5.135849,28.47082,0.6864,0.0,0.0,0.2291,0.4603,35.8,2.26,0.0853,0.146,2.9575,615.8,9.48803557,0.022344,24.81,89.66,793.0,5455.0,4.467,0.14,0.927,0.919,0.002,19.462294,48.14191,0.43,0.94,-0.0002,-0.00055,-0.01,0.2,0.2,93.59,3.20796,0
1,2,291.93423,48.141651,15.89,15.27,15.114,15.006,14.082,13.751,13.648,15.347,25.0,7.027669,20.109507,0.0023,0.0,0.0,0.2291,0.4603,25.8,2.83,0.2734,0.586,4.507,874.8,54.4183827,0.027954,77.9,89.57,443.0,5455.0,4.467,0.14,0.927,0.919,0.003,19.462265,48.14199,-0.63,1.23,0.00066,-0.00105,0.39,0.0,0.39,9.11,3.02368,0
3,1,285.53461,48.28521,16.1,15.554,15.382,15.266,14.326,13.911,13.809,15.597,621.0,39.06655,541.8951,0.0,0.0,0.0,0.2865,0.3556,505.6,33.46,0.0267,1.276,2.40641,8079.2,1.736952453,0.387394,3.278,67.09,1395.0,5805.0,4.564,-0.52,0.791,0.836,0.0,19.03563762,48.2852105,-0.111,0.002,0.00302,-0.00142,-0.249,0.147,0.289,891.96,0.2208,2
4,1,288.75488,48.2262,16.015,15.468,15.292,15.241,14.366,14.064,13.952,15.509,515.0,4.749945,33.1919,0.309,0.0,0.0,0.2844,0.3661,40.9,2.75,0.0374,0.701,1.6545,603.3,2.525591777,0.024064,8.75,85.41,1406.0,6031.0,4.438,0.07,1.046,1.095,0.733,19.2503258,48.22626,-0.01,0.23,8e-05,-7e-05,0.03,-0.09,0.1,926.16,1.98635,0
9,3,286.99948,48.37579,16.559,15.77,15.534,15.368,14.363,13.868,13.785,15.841,69.0,20.457163,137.44981,0.1819,0.0,0.0,0.1451,0.582,161.9,5.76,0.1158,0.052,3.5347,4914.3,16.06864674,0.062161,36.85,89.92,600.0,5031.0,4.485,0.16,0.848,0.801,0.063,19.1332989,48.375778,0.033,-0.044,0.00026,0.00049,0.041,-0.015,0.044,30.75,3.6659,0
10,1,286.80847,49.316399,11.736,11.275,11.168,11.126,10.232,9.92,9.846,11.338,432.0,544.1701,6468.04,0.1522,0.0,0.0,0.2676,0.3928,4304.3,13.04,0.0354,0.818,1.74319,14230.9,2.470613377,0.123871,8.3977,84.41,1339.0,5820.0,4.457,-0.06,0.964,0.971,0.0,19.12056404,49.31642961,-0.0232,0.1066,-0.00012,0.00078,-0.009,-0.3,0.3,761.46,1.83538,0
12,1,281.28812,42.45108,13.886,13.511,13.424,13.413,12.576,12.324,12.293,13.563,384.0,130.83832,1725.5824,0.6662,0.0,0.0,0.305,0.3201,1741.5,14.59,0.0473,0.631,3.19843,9145.7,3.522498429,0.092086,7.541,85.2,1521.0,6225.0,4.169,-0.04,1.451,1.132,0.0,18.75252746,42.4510634,-0.5515,-0.0597,1e-05,0.00036,0.014,-0.013,0.02,1264.67,0.65374,0
13,2,295.64871,48.49556,13.169,12.74,12.602,12.564,11.698,11.402,11.367,12.772,352.0,4.8657312,41.28873,0.605,0.0,0.0,0.2622,0.4035,50.6,1.16,0.0465,0.051,2.6302,131.1,3.709214104,0.010424,10.888,89.73,1206.0,5833.0,4.407,-0.04,1.022,0.974,0.009,19.709924,48.495685,0.36,0.45,-4.6e-05,-5e-05,0.24,-0.15,0.29,500.46,1.77451,0
14,1,297.07993,47.597401,15.994,15.419,15.249,15.153,14.248,13.831,13.827,15.472,96.0,92.901566,628.3708,0.154,0.0,0.0,0.2711,0.3858,622.1,150.51,0.0978,2.483,3.6399,17984.3,11.521446064,1.625358,20.75,83.13,753.0,5795.0,4.554,-0.2,0.848,0.938,0.895,19.80533055,47.5973894,0.068,-0.038,0.0,0.0001,0.009,-0.009,0.013,75.88,1.27376,2
15,1,289.25821,47.635319,16.229,15.44,15.169,14.985,13.95,13.429,13.287,15.487,71.0,49.468765,320.90817,0.806,0.0,0.0,0.1908,0.5172,214.7,7.18,0.123,0.804,12.2155,8918.7,19.40393776,0.096729,9.099,84.93,523.0,5043.0,4.591,-0.54,0.68,0.657,0.048,19.28388234,47.6353187,0.038,-0.005,-0.00038,-0.0002,-0.001,0.009,0.009,17.69,0.03785,2
16,2,295.81454,47.69035,15.798,15.293,15.145,15.053,14.2,13.863,13.727,15.341,55.0,387.658,2174.4263,0.0003,0.0,0.0,0.2916,0.3447,2317.0,49.29,0.1417,1.065,4.79843,74284.0,19.221388942,0.476633,31.323,88.05,698.0,6117.0,4.496,-0.22,0.947,1.025,0.0,19.7209653,47.6902759,-0.1235,-0.2667,-0.0005,-0.002,0.003,0.005,0.006,55.97,1.57359,2
17,1,297.15442,47.668701,16.529,15.724,15.47,15.29,14.176,13.688,13.555,15.788,66.0,43.1625,258.8247,0.0112,0.0,0.0,0.2075,0.49,303.4,7.94,0.1147,0.292,9.4378,10478.9,16.46983774,0.092509,14.05,88.81,595.0,5152.0,4.517,-0.2,0.786,0.741,0.0,19.81029277,47.6686305,-0.092,-0.25,0.0007,0.0008,-0.04,-0.004,0.04,29.61,0.19353,2
18,1,288.13824,47.724449,16.111,15.24,14.955,14.765,13.672,13.12,13.033,15.302,144.0,9.616924,71.48005,0.0504,0.0,0.0,0.1263,0.6019,87.2,2.47,0.0759,0.387,3.2875,1288.3,9.27358173,0.032563,20.65,88.93,649.0,4856.0,4.583,-0.3,0.696,0.676,0.037,19.2092154,47.724506,-0.05,0.2,0.00034,0.00019,-0.059,-0.008,0.059,41.85,1.93557,0
19,1,283.71088,47.86327,16.838,15.758,15.332,15.1,14.001,13.37,13.231,15.784,215.0,6.876831,52.36939,1.0,0.0,0.0,0.0628,0.6908,65.4,2.85,0.0585,0.258,1.5821,1912.7,6.02930329,0.038838,29.31,89.5,678.0,4537.0,4.648,0.21,0.672,0.761,0.77,18.9140505,47.863205,-0.32,-0.24,-0.00017,-0.0001,0.11,0.01,0.11,50.04,13.09803,0
21,3,292.37613,47.880989,15.988,15.363,15.172,15.093,14.114,13.724,13.633,15.416,247.0,6.0370364,48.504196,0.7722,0.0,0.0,0.186,0.5256,60.6,2.55,0.0563,0.092,3.0278,831.0,5.349553819,0.025706,13.8015,89.62,919.0,5185.0,4.44,0.16,0.91,0.831,0.002,19.4917224,47.880883,-0.71,-0.38,0.00055,0.0003,0.04,-0.02,0.04,168.99,1.73782,0
22,3,292.37613,47.880989,15.988,15.363,15.172,15.093,14.114,13.724,13.633,15.416,322.0,4.5118856,22.749151,0.923,0.0,0.0,0.186,0.5256,28.9,1.7,0.046,0.226,2.5984,363.3,3.94105221,0.017105,11.51,88.88,1018.0,5185.0,4.44,0.16,0.91,0.831,0.464,19.491748,47.8811,0.2,0.38,-8e-05,-0.00013,-0.23,0.35,0.42,253.15,1.85636,0
23,3,292.37613,47.880989,15.988,15.363,15.172,15.093,14.114,13.724,13.633,15.416,141.0,4.434382,9.776852,0.7742,0.0,0.0,0.186,0.5256,14.1,1.3,0.0743,0.025,3.596,217.4,8.10904807,0.013127,17.46,89.92,800.0,5185.0,4.44,0.16,0.91,0.831,0.013,19.491847,47.88095,3.8,-0.1,-0.00072,2e-05,-0.11,-0.14,0.18,97.03,1.5302,0
25,4,290.46512,47.92918,16.172,15.343,15.036,14.826,13.81,13.298,13.201,15.377,62.0,5.911944,24.54073,0.6183,0.0,0.0,0.1451,0.582,34.3,2.95,0.1408,0.896,3.4555,857.2,21.67699193,0.032666,24.6,87.91,530.0,4954.0,4.5,0.18,0.828,0.791,0.103,19.364357,47.92911,0.54,-0.26,-0.00064,0.0,-0.1,-0.04,0.11,18.64,0.60007,0
26,1,297.80826,47.946671,16.577,15.805,15.554,15.445,14.448,14.018,13.903,15.861,208.0,4.132564,24.283327,0.036,0.0,0.0,0.186,0.5256,28.2,2.78,0.0559,0.71,2.1717,934.7,4.99677968,0.030014,13.14,86.9,917.0,5339.0,4.552,0.18,0.847,0.931,0.998,19.853891,47.94662,0.26,-0.17,2e-05,1e-05,-0.14,0.17,0.22,166.95,1.71827,0
27,1,294.26581,49.314091,15.926,15.314,15.112,15.033,14.121,13.756,13.769,15.356,311.0,6.7006826,52.913242,0.4302,0.0,0.0,0.2676,0.3928,61.8,2.3,0.0503,0.424,2.875,750.8,4.280963604,0.025377,10.64,87.72,1012.0,5644.0,4.564,-0.14,0.831,0.928,0.0,19.6177106,49.314102,-0.33,0.04,0.00073,6e-05,0.003,-0.065,0.066,247.87,1.24482,0
28,1,295.66522,49.351009,16.051,15.474,15.299,15.23,14.266,13.905,13.821,15.525,882.0,9.787732,130.6654,1.0,0.0,0.0,0.2711,0.3858,181.1,4.53,0.025,0.86,1.5155,2211.7,1.50635409,0.049899,4.67,79.38,1452.0,5714.0,4.563,-0.2,0.831,0.926,0.0,19.7110359,49.351189,0.769,0.643,-0.00174,-0.0015,0.998,0.821,1.292,1054.12,0.84722,3
30,1,283.72592,49.479519,15.689,15.199,15.062,15.033,14.203,13.851,13.848,15.25,13.0,31.079844,73.10389,0.8513,0.0,0.0,0.3029,0.3239,85.3,39.87,0.3137,1.248,7.633,5123.3,61.2563628,0.334628,29.1,87.54,505.0,6144.0,4.402,0.0,1.091,1.093,0.156,18.915049,49.479597,-0.43,0.28,0.001,-0.0009,0.063,-0.055,0.083,15.43,0.12411,2
31,1,291.72202,49.480869,15.654,15.089,14.965,14.874,13.962,13.639,13.497,15.172,37.0,10.352898,31.946487,0.3889,0.0,0.0,0.224,0.4695,34.7,2.82,0.2163,0.468,5.588,724.2,38.3775486,0.024901,47.8,89.44,529.0,5481.0,4.369,0.16,1.036,0.915,0.0,19.4481442,49.480618,0.36,-0.91,0.00067,-0.00104,-0.85,1.54,1.76,18.53,1.40588,0
32,3,286.99948,48.37579,16.559,15.77,15.534,15.368,14.363,13.868,13.785,15.841,26.0,11.918161,37.877567,0.1551,0.0,0.0,0.1451,0.582,51.2,3.86,0.217,0.045,4.6297,2213.9,41.19725502,0.041693,70.75,89.96,439.0,5031.0,4.485,0.16,0.848,0.801,0.123,19.1332861,48.37579,-0.43,0.0,0.00111,0.00012,0.12,0.0,0.12,8.76,3.9471,0
33,3,286.99948,48.37579,16.559,15.77,15.534,15.368,14.363,13.868,13.785,15.841,167.0,5.834264,35.96252,0.7587,0.0,0.0,0.1451,0.582,47.1,2.65,0.0617,0.105,2.5819,1036.9,6.252962249,0.028604,18.94,89.68,823.0,5031.0,4.485,0.16,0.848,0.801,0.236,19.1332878,48.375832,-0.36,0.15,0.00042,-9e-05,0.03,0.05,0.06,108.3,3.28707,0
34,1,297.02563,48.478588,16.223,15.342,15.033,14.903,13.855,13.323,13.214,15.39,65.0,8.468995,31.066507,0.8555,0.0,0.0,0.1496,0.5746,33.2,3.1,0.1148,0.799,3.2554,1121.9,16.01308419,0.034369,24.7,88.14,593.0,5015.0,4.499,0.1,0.826,0.785,0.167,19.801708,48.47849,-0.03,-0.36,-2e-05,0.00054,-0.06,-0.21,0.22,29.31,1.10942,0
35,2,285.71854,48.505859,15.64,15.04,14.842,14.765,13.824,13.37,13.299,15.082,34.0,14.0889,61.372303,0.6386,0.0,0.0,0.2521,0.421,80.0,3.36,0.1889,0.021,4.7971,1804.8,32.62876672,0.03852,53.95,89.98,506.0,5586.0,4.56,-0.3,0.798,0.844,0.047,19.0478951,48.505812,-0.25,-0.17,0.00079,-0.00016,0.037,0.07,0.08,15.55,2.79093,0
36,2,285.71854,48.505859,15.64,15.04,14.842,14.765,13.824,13.37,13.299,15.082,11.0,6.9461374,14.678595,0.7668,0.0,0.0,0.2521,0.421,19.1,2.12,0.3764,0.606,6.473,652.0,91.7732862,0.02432,89.4,89.61,359.0,5586.0,4.56,-0.3,0.798,0.844,0.599,19.047889,48.50571,-0.5,-0.52,0.00041,0.00016,-0.36,-0.41,0.55,3.92,1.60558,0
37,1,292.16705,48.727589,15.715,15.209,15.069,15.041,14.123,13.815,13.805,15.263,269.0,58.764744,670.4895,0.0517,0.0,0.0,0.2602,0.4096,696.5,12.21,0.0565,0.831,2.22739,9802.0,4.959319244,0.103379,12.386,86.15,1103.0,5712.0,4.359,0.1,1.082,0.976,0.705,19.47780401,48.7275662,0.0,-0.086,0.00011,-7e-05,-0.018,0.012,0.022,349.4,1.46169,0
39,1,298.45685,48.791592,15.874,15.335,15.19,15.084,14.199,13.853,13.807,15.395,238.0,4.435833,26.501581,0.1694,0.0,0.0,0.2889,0.3511,29.5,2.1,0.0542,0.312,3.7362,460.0,4.49876511,0.019817,8.95,88.0,1133.0,6075.0,4.486,-0.12,0.969,1.048,0.281,19.897146,48.79174,0.83,0.54,-0.00024,-0.0001,0.09,-0.12,0.15,389.62,0.67106,0
40,1,291.0939,48.933842,16.02,15.488,15.329,15.243,14.322,14.024,13.921,15.536,59.0,85.46643,509.4985,0.5224,0.0,0.0,0.2889,0.3511,513.4,12.42,0.1433,0.723,5.2514,11766.3,19.651209505,0.106953,23.98,88.27,730.0,6074.0,4.391,-0.12,1.063,1.014,0.518,19.40625763,48.9338338,-0.059,-0.022,0.00021,-0.0002,0.006,0.0,0.006,67.03,0.67559,2
41,3,287.88733,46.276241,13.111,12.732,12.654,12.648,11.811,11.555,11.503,12.791,244.0,46.475086,163.47614,0.2265,0.0,0.0,0.2676,0.3928,166.7,2.94,0.0591,0.787,2.9472,601.6,5.412203927,0.024775,9.25,85.12,1093.0,5779.0,4.339,-0.06,1.087,0.941,0.0,19.1924882,46.276192,0.007,-0.175,-5.2e-05,-0.000137,-0.03,0.08,0.08,337.68,0.51087,0
42,1,295.55505,49.017342,16.068,15.32,15.114,14.996,13.948,13.596,13.519,15.4,33.0,27.788597,124.52492,0.4776,0.0,0.0,0.224,0.4695,141.1,5.5,0.2288,0.355,10.5989,2793.1,41.43958662,0.048175,29.47,89.31,516.0,5468.0,4.367,0.22,1.046,0.93,0.043,19.7036699,49.017297,0.0,-0.15,-0.00022,-0.0004,-0.029,-0.072,0.078,16.72,0.28189,0
43,1,285.49924,49.277351,15.862,15.267,15.083,14.985,13.996,13.582,13.533,15.317,127.0,5.6967807,36.34974,0.5047,0.0,0.0,0.2521,0.421,43.4,2.52,0.0768,0.023,2.2514,1041.6,8.35389523,0.029305,29.18,89.95,790.0,5592.0,4.582,-0.28,0.787,0.862,0.645,19.033292,49.277375,0.32,0.09,-0.00025,-9e-05,0.0,0.09,0.09,91.9,6.73215,0
44,1,291.93616,49.253979,15.977,15.453,15.305,15.253,14.38,14.083,14.198,15.506,323.0,9.387555,94.70979,0.6043,0.0,0.0,0.3024,0.3288,128.6,4.43,0.0529,0.597,3.1744,1487.3,4.125543472,0.036796,8.45,85.95,1243.0,6174.0,4.417,0.1,1.103,1.162,0.431,19.4624133,49.254001,0.07,0.07,-0.00012,-9e-05,-0.034,0.009,0.035,565.35,0.67162,0
45,1,297.01547,49.225288,15.636,14.988,14.802,14.685,13.732,13.393,13.315,15.052,474.0,104.64681,1328.3038,0.7998,0.0,0.0,0.2291,0.4603,1406.8,12.21,0.0383,0.105,2.50587,16813.7,2.816504904,0.117059,9.571,89.37,1219.0,5532.0,4.452,0.14,0.955,0.941,0.0,19.8010403,49.2253781,0.3386,0.317,-0.00034,0.00069,-0.024,-0.007,0.025,521.13,2.09079,0
47,1,291.62241,50.61824,15.735,15.177,15.031,14.969,14.012,13.72,13.764,15.242,360.0,4.8750124,31.786789,0.4053,0.0,0.0,0.2889,0.3511,35.6,1.89,0.0469,0.151,2.6557,426.7,3.689920099,0.018878,10.71,89.19,1147.0,5880.0,4.518,-0.06,0.917,1.01,0.255,19.441486,50.61826,-0.27,0.07,0.00017,0.00012,-0.27,0.05,0.27,408.99,1.70798,0
48,3,295.81616,51.121738,15.912,15.311,15.133,15.081,14.179,13.799,13.765,15.367,302.0,6.815371,58.259056,0.52,0.0,0.0,0.2555,0.4191,71.1,3.25,0.0529,0.405,3.15,1010.9,4.431238488,0.02933,10.19,87.72,1104.0,5714.0,4.428,0.16,1.015,1.007,0.016,19.7210781,51.121966,0.03,0.82,0.0005,-0.0001,-0.097,0.03,0.1,351.23,1.01996,0
49,3,295.81616,51.121738,15.912,15.311,15.133,15.081,14.179,13.799,13.765,15.367,109.0,5.2506146,29.930164,0.2364,0.0,0.0,0.2555,0.4191,37.9,3.95,0.0993,0.911,2.6255,1023.5,11.37936986,0.035628,16.31,86.8,806.0,5714.0,4.428,0.16,1.015,1.007,0.372,19.721105,51.12198,0.93,0.88,-0.00041,-0.00017,0.09,-0.06,0.11,99.68,0.63438,0
50,1,289.39972,51.25032,15.956,15.16,14.924,14.816,13.757,13.272,13.172,15.234,51.0,8.917681,41.269753,0.2735,0.0,0.0,0.1959,0.5086,48.2,3.07,0.1635,0.602,3.573,1510.9,26.39432897,0.03681,47.7,89.28,489.0,5129.0,4.595,0.02,0.763,0.846,0.592,19.2933174,51.250533,0.09,0.77,0.00037,3e-05,-0.18,0.2,0.27,13.49,2.93923,0
51,4,300.86398,44.337551,13.293,12.85,12.706,12.646,11.752,11.494,11.431,12.882,101.0,18.771214,76.76887,0.6645,0.0,0.0,0.2676,0.3928,88.4,2.64,0.1096,0.866,3.3539,511.7,13.57078281,0.023908,16.93,87.07,785.0,5854.0,4.406,-0.12,1.012,0.951,0.044,20.0576138,44.337549,0.61,0.0,-4.4e-05,0.000108,0.26,0.02,0.26,89.61,0.49865,0
52,3,287.88733,46.276241,13.111,12.732,12.654,12.648,11.811,11.555,11.503,12.791,181.0,6.1814723,39.793564,0.7788,0.0,0.0,0.2676,0.3928,47.1,1.79,0.0711,0.898,3.0014,192.4,7.12594387,0.01512,8.62,84.02,997.0,5779.0,4.339,-0.06,1.087,0.941,0.009,19.1924958,46.276037,0.29,-0.73,-6.9e-05,6.1e-05,0.03,0.04,0.06,233.31,0.23879,0
53,1,288.98682,49.733742,15.712,15.224,15.08,14.994,14.143,13.789,13.699,15.27,180.0,115.64278,1044.7283,0.0786,0.0,0.0,0.2965,0.3342,835.6,15.03,0.0742,0.137,2.3078,24446.2,7.442652004,0.143936,27.99,89.72,967.0,6108.0,4.469,-0.3,0.956,0.981,0.0,19.26578646,49.7336841,-0.054,-0.201,0.0128,0.0041,-0.068,-0.035,0.076,206.78,7.48712,2
54,3,286.73804,49.97575,16.328,15.068,14.567,14.305,13.153,12.507,12.36,15.095,65.0,6.419572,28.122635,0.7202,0.0,0.0,0.0718,0.6834,28.9,2.0,0.1084,0.001,3.0249,1127.1,16.38489988,0.029758,42.62,90.0,433.0,4126.0,4.661,0.04,0.615,0.633,0.204,19.11585,49.97583,-0.67,0.28,0.0006,-3e-05,0.02,-0.02,0.03,8.35,5.4538,0
55,3,286.73804,49.97575,16.328,15.068,14.567,14.305,13.153,12.507,12.36,15.095,135.0,10.036489,41.450657,0.5008,0.0,0.0,0.0718,0.6834,38.7,2.16,0.0665,0.041,2.0805,1306.1,7.8774163,0.03209,29.84,89.92,553.0,4126.0,4.661,0.04,0.615,0.633,0.588,19.1158594,49.975824,-0.34,0.27,0.00032,-2e-05,0.06,-0.03,0.07,22.18,8.09685,0
56,3,286.73804,49.97575,16.328,15.068,14.567,14.305,13.153,12.507,12.36,15.095,27.0,5.9903665,19.803268,0.6219,0.0,0.0,0.0718,0.6834,21.7,1.99,0.1847,0.028,4.007,1122.3,36.4454001,0.029681,71.53,89.98,332.0,4126.0,4.661,0.04,0.615,0.633,0.01,19.11587,49.97559,0.04,-0.58,-0.00014,0.00084,-0.01,0.17,0.17,2.88,5.21237,0
57,1,290.78574,50.054119,16.107,15.461,15.273,15.177,14.179,13.825,13.669,15.523,357.0,28.264866,360.1958,0.6769,0.0,0.0,0.2396,0.4415,345.2,6.02,0.0455,0.558,2.683,5226.5,3.728732147,0.068178,9.7,86.7,1023.0,5497.0,4.577,-0.1,0.809,0.907,0.0,19.3857191,50.05406,0.083,-0.217,0.00057,-0.00136,-0.072,0.041,0.083,258.34,1.24118,0
59,1,285.17621,50.149818,16.369,15.11,14.607,14.322,13.213,12.521,12.394,15.135,472.0,4.251499,30.578562,0.5576,0.0,0.0,0.1171,0.6215,38.9,1.99,0.028,0.915,1.1196,821.7,2.243380573,0.032248,7.38,82.88,822.0,4149.0,4.698,-0.32,0.564,0.578,0.0,19.0117449,50.14995,-0.06,0.46,-0.00024,-0.00057,0.19,0.27,0.33,107.6,1.50915,0
60,1,289.23553,50.241001,16.096,15.528,15.333,15.219,14.305,13.944,13.93,15.562,117.0,97.352005,691.1691,0.8796,0.0,0.0,0.2865,0.3556,745.2,11.23,0.0855,0.324,6.5036,14488.8,10.405998015,0.111248,13.012,88.57,833.0,5746.0,4.393,-0.54,0.924,0.77,0.553,19.28237064,50.2409479,0.091,-0.188,-0.00025,0.0,-0.011,0.004,0.012,113.94,0.38489,2
61,2,293.83331,50.23035,16.11,15.283,15.001,14.882,13.81,13.3,13.195,15.334,578.0,6.0310416,63.58795,0.6818,0.0,0.0,0.1496,0.5746,82.4,2.34,0.0325,0.28,1.9982,971.2,2.337437946,0.027998,8.86,88.19,1070.0,5005.0,4.595,0.14,0.765,0.85,0.0,19.5888925,50.230226,0.16,-0.45,6e-05,0.00045,0.027,0.05,0.061,311.16,2.41093,0
64,1,296.22195,50.28722,17.501,16.14,15.267,14.795,13.474,12.813,12.628,15.937,115.0,11.461336,62.376225,0.6552,0.0,0.0,0.3872,0.3156,71.0,2.65,0.0798,0.679,2.5237,2804.5,11.59822233,0.051287,28.2,88.62,396.0,3688.0,4.79,0.0,0.473,0.503,0.178,19.7481495,50.287475,0.63,0.92,-0.00029,0.0006,0.059,-0.03,0.066,5.82,3.14915,0
65,1,290.09805,50.321609,15.797,15.275,15.104,15.03,14.071,13.793,13.686,15.312,205.0,20.537346,210.22159,0.5611,0.0,0.0,0.2965,0.3342,221.1,5.31,0.067,0.39,4.3084,2793.3,6.575315881,0.049152,11.37,88.03,1015.0,5992.0,4.415,-0.32,0.989,0.927,0.013,19.3398711,50.321582,0.016,-0.099,0.00044,-7e-05,-0.033,-0.04,0.052,251.38,0.64392,0
66,1,295.45529,50.49456,15.69,14.996,14.819,14.745,13.732,13.402,13.26,15.08,188.0,24.639503,234.95987,0.1322,0.0,0.0,0.224,0.4695,312.1,4.86,0.0732,0.547,7.5377,3001.0,7.275040844,0.051358,6.66,85.29,833.0,5485.0,4.556,0.21,0.867,0.986,0.0,19.6970261,50.49465,0.234,0.323,0.00066,0.00064,-0.054,-0.065,0.085,113.64,0.10578,0
67,2,293.97336,50.53191,16.618,15.383,14.857,14.592,13.405,12.775,12.589,15.385,67.0,6.437265,28.490973,0.8388,0.0,0.0,0.2589,0.4639,37.1,1.93,0.1171,0.031,2.7594,1219.8,19.27153892,0.031585,55.02,89.97,393.0,4077.0,4.702,-0.24,0.56,0.576,0.0,19.598247,50.53192,0.78,0.05,-0.00076,0.00145,0.2,-0.17,0.26,5.66,8.48241,0
68,2,293.97336,50.53191,16.618,15.383,14.857,14.592,13.405,12.775,12.589,15.385,126.0,5.446764,21.658537,0.0088,0.0,0.0,0.2589,0.4639,30.3,1.91,0.076,0.628,1.369,1053.3,10.06524317,0.031153,45.9,89.22,488.0,4077.0,4.702,-0.24,0.56,0.576,0.0,19.598212,50.53192,-0.42,0.02,0.00053,0.00116,0.11,-0.23,0.25,13.43,18.09666,0
69,1,296.02133,50.56778,16.079,15.474,15.258,15.177,14.196,13.783,13.692,15.505,107.0,5.6057496,31.608551,0.8571,0.0,0.0,0.2665,0.398,35.8,2.66,0.0983,0.883,3.8896,916.6,12.3935651,0.032536,13.07,86.13,677.0,5557.0,4.603,-0.4,0.75,0.832,0.758,19.73476,50.56789,0.13,0.39,0.00019,0.00011,-0.17,-0.04,0.17,49.68,0.27483,0
70,4,300.86398,44.337551,13.293,12.85,12.706,12.646,11.752,11.494,11.431,12.882,29.0,16.554466,65.59482,0.9647,0.0,0.0,0.2676,0.3928,83.7,2.87,0.2395,0.852,6.802,615.2,43.84439721,0.025934,28.2,88.27,531.0,5854.0,4.406,-0.12,1.012,0.951,0.012,20.057603,44.337553,0.19,0.01,0.0002,0.00012,0.12,-0.2,0.23,18.77,0.22039,0
72,1,294.36819,38.31028,15.857,15.224,15.031,14.88,13.918,13.59,13.507,15.279,664.0,5.3061833,45.885685,0.8796,0.0,0.0,0.2711,0.3858,103.6,32.43,0.026,1.26,2.1145,1620.6,1.626630225,0.305244,2.38,58.03,1547.0,5735.0,4.41,-0.18,0.973,0.889,0.0,19.6245489,38.309915,0.09,-1.31,-2e-05,0.0008,0.1,-0.809,0.82,1355.88,0.09631,3
73,2,291.65353,38.494659,16.007,15.483,15.341,15.262,14.387,14.104,14.065,15.541,494.0,6.3430967,48.726124,0.228,0.0,0.0,0.3024,0.3288,64.5,3.12,0.0401,0.023,3.0099,837.5,2.711504086,0.026533,7.088,89.81,1420.0,6214.0,4.442,0.07,1.076,1.169,0.0,19.4435779,38.494748,0.42,0.32,-0.00037,-0.0003,-0.02,0.05,0.05,960.79,0.91618,0
74,2,291.65353,38.494659,16.007,15.483,15.341,15.262,14.387,14.104,14.065,15.541,165.0,6.1683164,40.04205,0.3431,0.0,0.0,0.3024,0.3288,51.5,3.32,0.077,0.012,4.0491,950.4,7.21203748,0.028255,14.003,89.95,1025.0,6214.0,4.442,0.07,1.076,1.169,0.0,19.4435697,38.494886,0.07,0.81,-0.00011,-0.00083,0.05,0.07,0.09,260.58,0.99867,0
76,2,296.36652,51.319519,15.945,15.271,15.079,14.978,14.006,13.555,13.453,15.339,159.0,5.7419868,39.867977,0.9241,0.0,0.0,0.2043,0.4966,47.6,2.59,0.0778,0.022,2.7245,1123.5,8.47237911,0.030119,24.47,89.95,751.0,5354.0,4.587,-0.08,0.788,0.884,0.046,19.7578029,51.31958,1.18,0.22,-0.00048,0.00037,-0.148,0.09,0.17,75.44,3.86328,0
77,2,296.36652,51.319519,15.945,15.271,15.079,14.978,14.006,13.555,13.453,15.339,22.0,6.335456,15.139797,0.6244,0.0,0.0,0.2043,0.4966,20.1,2.36,0.2884,0.094,5.039,931.3,60.4189369,0.027422,93.71,89.94,390.0,5354.0,4.587,-0.08,0.788,0.884,0.424,19.757766,51.31959,-0.06,0.26,0.0007,0.00025,0.0,0.53,0.53,5.49,4.26444,0
78,1,289.11221,51.737381,15.659,15.072,14.918,14.825,13.942,13.546,13.478,15.14,104.0,31.536423,207.6196,0.0586,0.0,0.0,0.2622,0.4035,277.2,7.4,0.1058,0.55,5.1497,6105.6,12.611904345,0.073758,17.27,88.17,753.0,5795.0,4.508,-0.02,0.919,0.992,0.0,19.2741411,51.737685,-0.232,1.099,0.00117,0.00148,-0.065,-0.058,0.087,76.15,0.61222,0
